Time [sec]	P [hPa]	T [oC]	Ws [m/s]	Wd [o]	Alt [m]	Lon [o]	Lat [o]	Dew [oC]
1151	607.2	-9.5	25.7	262	4071	-74.869040	38.416199	-10.8
1152	607.0	-9.5	25.8	262	4075	-74.868747	38.416235	-10.8
1153	606.6	-9.6	25.9	262	4079	-74.868455	38.416270	-10.8
1154	606.3	-9.6	26.0	261	4083	-74.868162	38.416305	-10.9
1155	606.0	-9.6	26.1	261	4087	-74.867870	38.416341	-11.1
1156	605.7	-9.6	26.1	261	4091	-74.867577	38.416376	-11.1
1157	605.4	-9.7	26.2	261	4095	-74.867285	38.416411	-11.1
1158	605.1	-9.7	26.3	261	4099	-74.866992	38.416447	-11.1
1159	604.8	-9.7	26.3	261	4103	-74.866700	38.416482	-11.2
1160	604.5	-9.7	26.3	261	4107	-74.866408	38.416517	-11.2
1161	604.2	-9.7	26.4	261	4111	-74.866115	38.416553	-11.2
1162	603.9	-9.8	26.4	261	4115	-74.865823	38.416588	-11.3
1163	603.5	-9.8	26.4	261	4119	-74.865530	38.416623	-11.4
1164	603.2	-9.8	26.3	261	4123	-74.865238	38.416659	-11.4
1165	602.9	-9.8	26.2	261	4127	-74.864945	38.416694	-11.3
1166	602.6	-9.8	26.2	261	4131	-74.864653	38.416729	-11.3
1167	602.3	-9.9	26.1	262	4134	-74.864360	38.416765	-11.4
1168	602.0	-9.9	26.1	262	4138	-74.864068	38.416800	-11.4
1169	601.7	-9.9	26.0	262	4142	-74.863775	38.416835	-11.4
1170	601.4	-9.9	25.9	262	4146	-74.863499	38.416876	-11.4
1171	601.1	-9.9	25.8	261	4150	-74.863224	38.416916	-11.4
1172	600.8	-10.0	25.8	261	4154	-74.862949	38.416957	-11.5
1173	600.5	-10.0	25.7	261	4158	-74.862673	38.416998	-11.5
1174	600.2	-10.0	25.6	261	4162	-74.862398	38.417039	-11.5
1175	599.9	-10.0	25.5	261	4165	-74.862123	38.417080	-11.3
1176	599.6	-10.0	25.4	261	4169	-74.861848	38.417121	-11.3
1177	599.3	-10.1	25.4	260	4173	-74.861573	38.417161	-11.4
1178	599.1	-10.1	25.4	260	4176	-74.861298	38.417202	-11.3
1179	598.8	-10.1	25.4	260	4180	-74.861023	38.417243	-11.3
1180	598.5	-10.1	25.4	259	4184	-74.860748	38.417284	-11.3
1181	598.2	-10.1	25.4	259	4187	-74.860473	38.417325	-11.3
1182	597.9	-10.2	25.3	259	4191	-74.860198	38.417366	-11.3
1183	597.6	-10.2	25.2	259	4195	-74.859923	38.417406	-11.3
1184	597.3	-10.2	25.1	258	4199	-74.859648	38.417447	-11.2
1185	597.0	-10.2	25.0	258	4203	-74.859373	38.417488	-11.2
1186	596.7	-10.2	25.0	258	4207	-74.859098	38.417529	-11.2
1187	596.4	-10.3	24.9	258	4211	-74.858823	38.417570	-11.1
1188	596.1	-10.3	24.8	257	4215	-74.858548	38.417611	-11.1
1189	595.8	-10.3	24.8	257	4219	-74.858273	38.417651	-11.1
1190	595.5	-10.3	24.7	257	4222	-74.857998	38.417692	-11.1
1191	595.3	-10.3	24.6	257	4226	-74.857723	38.417733	-11.1
1192	595.0	-10.4	24.6	257	4229	-74.857448	38.417774	-11.0
1193	594.7	-10.4	24.5	257	4233	-74.857173	38.417815	-10.9
1194	594.5	-10.4	24.5	257	4236	-74.856898	38.417856	-10.8
1195	594.2	-10.4	24.4	258	4239	-74.856623	38.417896	-10.8
1196	593.9	-10.4	24.3	258	4243	-74.856348	38.417937	-10.6
1197	593.6	-10.5	24.2	258	4247	-74.856073	38.417978	-10.6
1198	593.4	-10.5	24.1	259	4250	-74.855798	38.418019	-10.6
1199	593.1	-10.5	24.1	259	4254	-74.855523	38.418060	-10.7
1200	592.8	-10.5	24.0	259	4257	-74.855252	38.418096	-10.7
1201	592.5	-10.6	23.9	260	4261	-74.854989	38.418124	-10.7
1202	592.2	-10.6	23.9	260	4265	-74.854725	38.418153	-10.8
1203	591.9	-10.6	23.8	260	4269	-74.854462	38.418182	-10.8
1204	591.6	-10.6	23.8	261	4273	-74.854198	38.418211	-10.7
1205	591.3	-10.6	23.7	261	4277	-74.853935	38.418240	-10.6
1206	591.0	-10.7	23.7	261	4281	-74.853671	38.418269	-10.7
1207	590.6	-10.7	23.7	262	4286	-74.853408	38.418298	-10.7
1208	590.3	-10.7	23.7	262	4290	-74.853144	38.418327	-10.7
1209	590.0	-10.7	23.6	262	4294	-74.852880	38.418355	-10.7
1210	589.6	-10.8	23.6	262	4299	-74.852617	38.418384	-10.8
1211	589.3	-10.8	23.5	262	4303	-74.852353	38.418413	-10.8
1212	589.0	-10.8	23.5	262	4307	-74.852090	38.418442	-10.8
1213	588.7	-10.8	23.5	262	4311	-74.851826	38.418471	-10.8
1214	588.4	-10.8	23.4	263	4315	-74.851563	38.418500	-10.8
1215	588.1	-10.9	23.4	262	4319	-74.851299	38.418529	-10.9
1216	587.8	-10.9	23.3	262	4322	-74.851035	38.418557	-10.9
1217	587.5	-10.9	23.3	262	4326	-74.850772	38.418586	-10.9
1218	587.2	-10.9	23.3	262	4330	-74.850508	38.418615	-10.9
1219	586.9	-10.9	23.3	262	4334	-74.850245	38.418644	-10.9
1220	586.6	-11.0	23.2	261	4338	-74.849981	38.418673	-11.0
1221	586.3	-11.0	23.2	261	4342	-74.849718	38.418702	-11.0
1222	586.0	-11.0	23.2	261	4346	-74.849454	38.418731	-11.0
1223	585.7	-11.0	23.2	261	4350	-74.849191	38.418759	-11.0
1224	585.5	-11.0	23.2	261	4353	-74.848927	38.418788	-11.0
1225	585.2	-11.0	23.2	261	4357	-74.848663	38.418817	-11.0
1226	584.9	-11.0	23.2	261	4361	-74.848400	38.418846	-11.0
1227	584.6	-11.1	23.2	261	4365	-74.848136	38.418875	-11.1
1228	584.3	-11.1	23.2	262	4369	-74.847873	38.418904	-11.1
1229	584.0	-11.1	23.2	262	4373	-74.847609	38.418933	-11.1
1230	583.7	-11.1	23.3	262	4377	-74.847342	38.418964	-11.1
1231	583.4	-11.1	23.3	262	4380	-74.847069	38.418999	-11.1
1232	583.1	-11.2	23.3	262	4384	-74.846797	38.419033	-11.2
1233	582.8	-11.2	23.3	263	4388	-74.846524	38.419068	-11.2
1234	582.5	-11.2	23.3	263	4392	-74.846251	38.419103	-11.2
1235	582.2	-11.2	23.4	263	4396	-74.845979	38.419137	-11.2
1236	581.9	-11.3	23.4	263	4400	-74.845706	38.419172	-11.3
1237	581.6	-11.3	23.5	263	4404	-74.845434	38.419207	-11.3
1238	581.3	-11.3	23.5	263	4409	-74.845161	38.419241	-11.3
1239	581.0	-11.3	23.6	263	4413	-74.844889	38.419276	-11.3
1240	580.7	-11.4	23.6	263	4417	-74.844616	38.419311	-11.4
1241	580.4	-11.4	23.6	263	4421	-74.844343	38.419345	-11.4
1242	580.1	-11.4	23.6	263	4424	-74.844071	38.419380	-11.4
1243	579.8	-11.4	23.7	263	4428	-74.843798	38.419415	-11.4
1244	579.5	-11.5	23.7	263	4432	-74.843526	38.419449	-11.5
1245	579.3	-11.5	23.7	263	4436	-74.843253	38.419484	-11.5
1246	579.0	-11.5	23.7	263	4439	-74.842981	38.419519	-11.5
1247	578.7	-11.5	23.8	262	4443	-74.842708	38.419553	-11.5
1248	578.4	-11.5	23.8	262	4446	-74.842435	38.419588	-11.5
1249	578.1	-11.6	23.8	262	4450	-74.842163	38.419623	-11.6
1250	577.9	-11.6	23.9	261	4453	-74.841890	38.419657	-11.6
1251	577.6	-11.6	23.9	261	4457	-74.841618	38.419692	-11.6
1252	577.3	-11.6	23.9	261	4461	-74.841345	38.419727	-11.6
1253	577.0	-11.7	24.0	260	4465	-74.841073	38.419761	-11.7
1254	576.7	-11.7	24.0	260	4469	-74.840800	38.419796	-11.7
1255	576.4	-11.7	24.1	260	4473	-74.840527	38.419831	-11.7
1256	576.1	-11.8	24.1	259	4477	-74.840255	38.419865	-11.8
1257	575.8	-11.8	24.1	259	4481	-74.839982	38.419900	-11.8
1258	575.4	-11.8	24.1	259	4486	-74.839710	38.419935	-11.8
1259	575.1	-11.9	24.2	259	4490	-74.839437	38.419969	-11.9
1260	574.8	-11.9	24.2	259	4495	-74.839164	38.420004	-11.9
1261	574.4	-11.9	24.3	259	4499	-74.838856	38.420048	-11.9
1262	574.0	-11.9	24.4	259	4504	-74.838545	38.420093	-11.9
1263	573.6	-11.9	24.5	259	4510	-74.838234	38.420137	-11.9
1264	573.2	-12.0	24.6	259	4516	-74.837922	38.420182	-12.1
1265	572.8	-12.0	24.7	259	4521	-74.837611	38.420226	-12.4
1266	572.4	-12.0	24.7	259	4527	-74.837300	38.420271	-12.6
1267	572.0	-12.1	24.8	259	4533	-74.836989	38.420316	-12.9
1268	571.7	-12.1	24.8	259	4538	-74.836677	38.420360	-13.1
1269	571.3	-12.1	24.9	259	4542	-74.836366	38.420405	-13.3
1270	571.0	-12.1	25.0	259	4546	-74.836055	38.420450	-13.5
1271	570.6	-12.1	25.0	260	4551	-74.835744	38.420494	-13.5
1272	570.3	-12.1	25.2	260	4555	-74.835433	38.420539	-13.6
1273	570.0	-12.2	25.3	260	4559	-74.835121	38.420583	-13.6
1274	569.7	-12.2	25.5	260	4563	-74.834810	38.420628	-13.7
1275	569.4	-12.2	25.7	260	4567	-74.834499	38.420673	-13.8
1276	569.1	-12.2	25.8	261	4571	-74.834188	38.420717	-13.8
1277	568.8	-12.2	25.9	261	4575	-74.833877	38.420762	-13.9
1278	568.5	-12.3	26.1	261	4579	-74.833565	38.420806	-13.9
1279	568.2	-12.3	26.2	261	4583	-74.833254	38.420851	-13.9
1280	568.0	-12.3	26.3	261	4586	-74.832943	38.420896	-13.8
1281	567.7	-12.4	26.4	261	4590	-74.832632	38.420940	-13.8
1282	567.4	-12.4	26.5	262	4594	-74.832321	38.420985	-13.9
1283	567.1	-12.4	26.6	262	4598	-74.832009	38.421029	-14.1
1284	566.8	-12.4	26.7	262	4602	-74.831698	38.421074	-14.2
1285	566.5	-12.4	27.1	261	4607	-74.831387	38.421119	-14.4
1286	566.1	-12.4	27.3	261	4611	-74.831076	38.421163	-14.5
1287	565.8	-12.4	27.7	261	4616	-74.830764	38.421208	-14.4
1288	565.5	-12.4	28.0	260	4620	-74.830453	38.421253	-13.9
1289	565.1	-12.4	28.3	260	4625	-74.830142	38.421297	-14.0
1290	564.8	-12.4	28.6	260	4629	-74.829831	38.421342	-14.0
1291	564.6	-12.4	28.9	260	4632	-74.829491	38.421393	-13.9
1292	564.4	-12.4	29.2	259	4635	-74.829116	38.421453	-14.0
1293	564.2	-12.4	29.4	259	4637	-74.828740	38.421513	-14.2
1294	564.0	-12.3	29.7	259	4640	-74.828365	38.421573	-14.1
1295	563.8	-12.4	29.8	258	4643	-74.827989	38.421633	-14.2
1296	563.5	-12.4	30.1	258	4646	-74.827613	38.421692	-14.2
1297	563.3	-12.4	30.3	258	4650	-74.827238	38.421752	-14.4
1298	563.0	-12.4	30.6	258	4653	-74.826862	38.421812	-14.5
1299	562.7	-12.4	30.9	258	4657	-74.826487	38.421872	-14.1
1300	562.5	-12.4	31.2	257	4660	-74.826111	38.421932	-13.7
1301	562.2	-12.4	31.4	257	4664	-74.825735	38.421992	-13.5
1302	561.9	-12.5	31.7	257	4668	-74.825360	38.422052	-13.3
1303	561.6	-12.5	32.0	257	4673	-74.824984	38.422112	-13.2
1304	561.3	-12.5	32.2	257	4677	-74.824608	38.422172	-13.3
1305	560.9	-12.5	32.3	257	4682	-74.824233	38.422231	-13.5
1306	560.6	-12.6	32.4	258	4686	-74.823857	38.422291	-13.7
1307	560.2	-12.6	32.4	258	4691	-74.823482	38.422351	-13.9
1308	559.9	-12.6	32.5	258	4696	-74.823106	38.422411	-14.2
1309	559.6	-12.7	32.5	258	4701	-74.822730	38.422471	-14.1
1310	559.3	-12.7	32.6	258	4705	-74.822355	38.422531	-13.7
1311	559.0	-12.7	32.7	259	4710	-74.821979	38.422591	-13.7
1312	558.7	-12.8	32.9	259	4715	-74.821604	38.422651	-13.7
1313	558.4	-12.8	33.0	259	4718	-74.821228	38.422710	-13.8
1314	558.1	-12.8	33.1	259	4721	-74.820852	38.422770	-13.9
1315	557.8	-12.9	33.3	259	4724	-74.820477	38.422830	-14.1
1316	557.6	-12.9	33.4	259	4727	-74.820101	38.422890	-14.3
1317	557.4	-12.9	33.5	259	4730	-74.819726	38.422950	-14.3
1318	557.1	-12.9	33.6	259	4733	-74.819350	38.423010	-14.3
1319	556.9	-13.0	33.7	259	4737	-74.818974	38.423070	-14.4
1320	556.7	-13.0	33.8	259	4740	-74.818599	38.423130	-14.5
1321	556.4	-13.0	33.9	259	4744	-74.818223	38.423189	-14.5
1322	556.2	-13.1	34.0	259	4748	-74.817852	38.423258	-14.5
1323	555.9	-13.1	34.0	259	4751	-74.817483	38.423334	-14.5
1324	555.7	-13.1	34.2	259	4755	-74.817115	38.423410	-14.6
1325	555.4	-13.1	34.4	259	4758	-74.816747	38.423486	-14.7
1326	555.2	-13.1	34.6	258	4760	-74.816379	38.423563	-14.7
1327	554.9	-13.2	34.7	258	4763	-74.816011	38.423639	-14.8
1328	554.6	-13.2	34.9	258	4766	-74.815643	38.423715	-14.7
1329	554.3	-13.2	35.0	258	4769	-74.815275	38.423791	-14.8
1330	554.1	-13.2	35.2	258	4774	-74.814907	38.423867	-14.8
1331	553.8	-13.2	35.3	258	4779	-74.814538	38.423943	-14.8
1332	553.5	-13.2	35.4	258	4784	-74.814170	38.424019	-14.9
1333	553.1	-13.2	35.5	258	4789	-74.813802	38.424095	-14.8
1334	552.8	-13.2	35.6	257	4794	-74.813434	38.424172	-14.7
1335	552.5	-13.2	35.7	257	4799	-74.813066	38.424248	-14.7
1336	552.1	-13.3	35.8	257	4803	-74.812698	38.424324	-14.7
1337	551.8	-13.3	35.6	257	4807	-74.812330	38.424400	-14.7
1338	551.5	-13.3	35.4	257	4812	-74.811961	38.424476	-14.8
1339	551.1	-13.4	35.1	257	4816	-74.811593	38.424552	-14.8
1340	550.7	-13.4	35.0	257	4821	-74.811225	38.424628	-14.9
1341	550.3	-13.4	34.7	257	4826	-74.810857	38.424704	-15.0
1342	550.0	-13.5	34.5	256	4832	-74.810489	38.424781	-15.0
1343	549.6	-13.5	34.3	256	4837	-74.810121	38.424857	-15.1
1344	549.2	-13.6	34.0	256	4843	-74.809753	38.424933	-15.2
1345	548.8	-13.6	33.7	256	4849	-74.809385	38.425009	-15.2
1346	548.5	-13.7	33.4	256	4854	-74.809016	38.425085	-15.2
1347	548.1	-13.7	33.1	256	4859	-74.808648	38.425161	-15.3
1348	547.7	-13.8	32.8	256	4864	-74.808280	38.425237	-15.3
1349	547.3	-13.8	32.5	256	4869	-74.807912	38.425313	-15.3
1350	547.0	-13.9	32.3	255	4874	-74.807544	38.425390	-15.3
1351	546.6	-13.9	32.1	255	4879	-74.807176	38.425466	-15.2
1352	546.3	-13.9	31.9	254	4884	-74.806808	38.425563	-15.3
1353	546.0	-13.9	31.7	254	4888	-74.806440	38.425685	-15.4
1354	545.7	-13.9	31.5	253	4892	-74.806072	38.425807	-15.5
1355	545.4	-14.0	31.3	253	4896	-74.805704	38.425930	-15.6
1356	545.1	-14.0	31.2	252	4901	-74.805336	38.426052	-15.7
1357	544.8	-14.0	31.2	252	4905	-74.804968	38.426174	-15.5
1358	544.5	-14.0	31.4	251	4909	-74.804600	38.426296	-15.4
1359	544.2	-14.1	31.5	251	4913	-74.804232	38.426419	-15.3
1360	543.9	-14.1	31.6	251	4917	-74.803864	38.426541	-15.4
1361	543.6	-14.1	31.7	250	4921	-74.803496	38.426663	-15.4
1362	543.4	-14.1	31.9	250	4925	-74.803128	38.426786	-15.5
1363	543.1	-14.0	32.1	249	4928	-74.802760	38.426908	-15.6
1364	542.9	-14.0	32.3	249	4932	-74.802391	38.427030	-15.6
1365	542.7	-14.0	32.6	248	4935	-74.802023	38.427152	-15.5
1366	542.4	-14.0	32.8	248	4938	-74.801655	38.427275	-15.3
1367	542.2	-14.0	33.1	247	4941	-74.801287	38.427397	-15.1
1368	542.0	-14.0	33.3	247	4944	-74.800919	38.427519	-15.1
1369	541.8	-14.0	33.6	246	4947	-74.800551	38.427642	-15.1
1370	541.6	-14.0	33.7	246	4949	-74.800183	38.427764	-15.0
1371	541.5	-13.9	33.8	246	4951	-74.799815	38.427886	-15.0
1372	541.3	-13.9	33.9	246	4953	-74.799447	38.428008	-15.1
1373	541.1	-13.9	34.1	246	4955	-74.799079	38.428131	-15.2
1374	541.0	-13.9	34.1	246	4958	-74.798711	38.428253	-15.3
1375	540.8	-13.9	34.3	245	4961	-74.798343	38.428375	-15.3
1376	540.5	-13.8	34.6	246	4964	-74.797975	38.428497	-15.4
1377	540.3	-13.8	34.8	246	4966	-74.797607	38.428620	-15.3
1378	540.1	-13.8	35.1	246	4969	-74.797239	38.428742	-15.3
1379	539.9	-13.8	35.4	246	4972	-74.796871	38.428864	-15.3
1380	539.7	-13.9	35.8	246	4976	-74.796503	38.428987	-15.2
1381	539.4	-13.9	36.1	246	4980	-74.796135	38.429109	-15.2
1382	539.1	-13.9	36.4	246	4985	-74.795747	38.429240	-15.2
1383	538.8	-14.0	36.5	247	4989	-74.795336	38.429381	-15.2
1384	538.5	-14.0	36.7	247	4993	-74.794925	38.429523	-15.3
1385	538.2	-14.0	36.9	247	4997	-74.794514	38.429664	-15.3
1386	537.9	-14.0	37.1	247	5002	-74.794102	38.429806	-15.4
1387	537.5	-14.1	37.3	248	5006	-74.793691	38.429947	-15.4
1388	537.2	-14.1	37.5	248	5011	-74.793280	38.430088	-15.4
1389	536.9	-14.1	37.7	248	5015	-74.792869	38.430230	-15.4
1390	536.6	-14.1	37.9	248	5020	-74.792457	38.430371	-15.4
1391	536.3	-14.1	38.1	248	5024	-74.792046	38.430513	-15.4
1392	535.9	-14.1	38.3	248	5029	-74.791635	38.430654	-15.4
1393	535.6	-14.1	38.5	248	5034	-74.791224	38.430795	-15.4
1394	535.2	-14.1	38.7	248	5039	-74.790812	38.430937	-15.4
1395	534.9	-14.1	38.9	248	5044	-74.790401	38.431078	-15.4
1396	534.6	-14.1	38.9	248	5048	-74.789990	38.431220	-15.4
1397	534.2	-14.1	39.0	248	5054	-74.789579	38.431361	-15.3
1398	533.9	-14.1	38.9	248	5059	-74.789167	38.431502	-15.3
1399	533.5	-14.1	39.0	248	5064	-74.788756	38.431644	-15.2
1400	533.1	-14.1	39.0	247	5069	-74.788345	38.431785	-15.2
1401	532.8	-14.1	39.0	247	5075	-74.787934	38.431927	-15.1
1402	532.4	-14.1	39.1	247	5080	-74.787522	38.432068	-15.2
1403	532.0	-14.1	39.1	247	5085	-74.787111	38.432209	-15.2
1404	531.6	-14.1	39.2	246	5090	-74.786700	38.432351	-15.2
1405	531.3	-14.1	39.3	246	5096	-74.786289	38.432492	-15.3
1406	530.9	-14.1	39.3	246	5101	-74.785877	38.432634	-15.3
1407	530.6	-14.1	39.4	246	5107	-74.785466	38.432775	-15.3
1408	530.2	-14.2	39.5	245	5112	-74.785055	38.432916	-15.4
1409	529.8	-14.2	39.5	245	5117	-74.784644	38.433058	-15.4
1410	529.5	-14.3	39.5	245	5122	-74.784232	38.433199	-15.4
1411	529.1	-14.3	39.5	245	5127	-74.783821	38.433341	-15.5
1412	528.7	-14.3	39.6	245	5132	-74.783412	38.433483	-15.6
1413	528.4	-14.4	39.7	245	5137	-74.783019	38.433635	-15.6
1414	528.0	-14.4	39.7	245	5143	-74.782626	38.433787	-15.7
1415	527.6	-14.4	39.7	245	5148	-74.782233	38.433938	-15.8
1416	527.2	-14.5	39.7	245	5154	-74.781840	38.434090	-16.0
1417	526.9	-14.5	39.6	245	5159	-74.781448	38.434242	-15.8
1418	526.5	-14.5	39.6	245	5165	-74.781055	38.434393	-15.8
1419	526.1	-14.6	39.6	245	5170	-74.780662	38.434545	-15.8
1420	525.8	-14.6	39.5	244	5175	-74.780269	38.434697	-15.8
1421	525.4	-14.6	39.5	244	5181	-74.779876	38.434849	-15.8
1422	525.0	-14.7	39.4	244	5186	-74.779484	38.435000	-15.9
1423	524.7	-14.7	39.3	244	5191	-74.779091	38.435152	-16.0
1424	524.3	-14.7	39.3	244	5197	-74.778698	38.435304	-16.1
1425	524.0	-14.7	39.2	244	5201	-74.778305	38.435455	-16.1
1426	523.7	-14.8	39.1	244	5206	-74.777912	38.435607	-16.1
1427	523.3	-14.8	39.0	244	5211	-74.777520	38.435759	-16.1
1428	523.0	-14.8	38.9	244	5215	-74.777127	38.435910	-16.1
1429	522.6	-14.9	38.8	244	5220	-74.776734	38.436062	-16.1
1430	522.2	-14.9	38.7	244	5225	-74.776341	38.436214	-16.2
1431	521.9	-14.9	38.6	244	5231	-74.775948	38.436366	-16.2
1432	521.5	-15.0	38.5	244	5236	-74.775556	38.436517	-16.2
1433	521.2	-15.0	38.4	244	5242	-74.775163	38.436669	-16.3
1434	520.8	-15.0	38.3	244	5247	-74.774770	38.436821	-16.3
1435	520.4	-15.0	38.2	244	5253	-74.774377	38.436972	-16.3
1436	520.1	-15.1	38.2	244	5258	-74.773984	38.437124	-16.3
1437	519.7	-15.1	38.1	244	5263	-74.773592	38.437276	-16.5
1438	519.4	-15.1	38.1	244	5268	-74.773199	38.437427	-16.6
1439	519.0	-15.2	38.1	244	5273	-74.772806	38.437579	-16.6
1440	518.7	-15.2	38.0	244	5278	-74.772413	38.437731	-16.6
1441	518.4	-15.2	38.0	244	5283	-74.772020	38.437883	-16.7
1442	518.1	-15.2	37.9	244	5287	-74.771628	38.438034	-16.7
1443	517.7	-15.3	37.8	244	5292	-74.771251	38.438194	-16.7
1444	517.4	-15.3	37.8	243	5296	-74.770876	38.438354	-16.7
1445	517.1	-15.3	37.7	243	5301	-74.770501	38.438514	-16.7
1446	516.8	-15.3	37.6	243	5305	-74.770126	38.438674	-16.7
1447	516.5	-15.3	37.5	243	5310	-74.769750	38.438834	-16.8
1448	516.2	-15.4	37.5	243	5315	-74.769375	38.438994	-16.8
1449	515.8	-15.4	37.5	243	5320	-74.769000	38.439154	-16.9
1450	515.5	-15.4	37.4	243	5324	-74.768625	38.439314	-16.9
1451	515.2	-15.4	37.4	243	5329	-74.768249	38.439474	-16.9
1452	514.9	-15.5	37.3	243	5334	-74.767874	38.439634	-16.9
1453	514.6	-15.5	37.3	243	5338	-74.767499	38.439794	-17.0
1454	514.3	-15.5	37.3	243	5343	-74.767124	38.439954	-16.9
1455	514.0	-15.5	37.2	243	5347	-74.766749	38.440114	-16.9
1456	513.7	-15.5	37.2	243	5351	-74.766373	38.440274	-16.9
1457	513.4	-15.5	37.2	243	5356	-74.765998	38.440434	-16.9
1458	513.1	-15.5	37.1	242	5360	-74.765623	38.440594	-16.9
1459	512.8	-15.6	37.1	242	5364	-74.765248	38.440754	-17.0
1460	512.5	-15.6	37.1	242	5369	-74.764872	38.440914	-17.0
1461	512.2	-15.6	37.1	242	5373	-74.764497	38.441074	-17.1
1462	511.9	-15.6	37.1	242	5378	-74.764122	38.441234	-17.0
1463	511.6	-15.6	37.1	242	5382	-74.763747	38.441395	-17.1
1464	511.3	-15.6	37.1	242	5386	-74.763371	38.441555	-17.0
1465	511.0	-15.6	37.2	242	5391	-74.762996	38.441715	-17.0
1466	510.7	-15.6	37.2	242	5395	-74.762621	38.441875	-17.0
1467	510.5	-15.6	37.2	242	5399	-74.762246	38.442035	-16.9
1468	510.2	-15.6	37.3	241	5403	-74.761870	38.442195	-16.9
1469	509.9	-15.6	37.3	241	5407	-74.761495	38.442355	-16.9
1470	509.6	-15.6	37.4	241	5411	-74.761120	38.442515	-16.9
1471	509.3	-15.6	37.4	241	5415	-74.760745	38.442675	-16.9
1472	509.1	-15.6	37.4	241	5420	-74.760369	38.442835	-16.9
1473	508.8	-15.6	37.4	240	5424	-74.759988	38.443005	-16.9
1474	508.5	-15.6	37.5	240	5428	-74.759598	38.443188	-16.9
1475	508.2	-15.6	37.5	240	5432	-74.759209	38.443371	-16.9
1476	508.0	-15.7	37.5	240	5436	-74.758819	38.443554	-16.9
1477	507.7	-15.7	37.6	240	5440	-74.758429	38.443737	-17.0
1478	507.4	-15.7	37.6	240	5444	-74.758040	38.443920	-17.0
1479	507.1	-15.7	37.7	240	5449	-74.757650	38.444103	-17.0
1480	506.9	-15.7	37.8	240	5453	-74.757260	38.444286	-17.0
1481	506.6	-15.7	37.9	239	5457	-74.756871	38.444469	-17.0
1482	506.3	-15.7	38.0	239	5461	-74.756481	38.444652	-17.0
1483	506.0	-15.7	38.1	239	5465	-74.756091	38.444835	-17.1
1484	505.7	-15.8	38.2	239	5469	-74.755702	38.445018	-17.1
1485	505.5	-15.8	38.4	239	5473	-74.755312	38.445201	-17.1
1486	505.2	-15.8	38.4	239	5477	-74.754922	38.445384	-17.1
1487	504.9	-15.8	38.5	239	5481	-74.754533	38.445567	-17.1
1488	504.7	-15.8	38.5	239	5485	-74.754143	38.445750	-17.2
1489	504.4	-15.8	38.6	239	5489	-74.753754	38.445933	-17.1
1490	504.1	-15.8	38.7	239	5494	-74.753364	38.446116	-17.2
1491	503.9	-15.8	38.8	239	5498	-74.752974	38.446299	-17.2
1492	503.6	-15.9	38.9	239	5501	-74.752585	38.446482	-17.1
1493	503.3	-15.9	39.0	239	5505	-74.752195	38.446664	-17.0
1494	503.1	-15.9	39.2	239	5509	-74.751805	38.446847	-17.0
1495	502.8	-15.9	39.2	239	5513	-74.751416	38.447030	-17.0
1496	502.5	-15.9	39.4	239	5517	-74.751026	38.447213	-17.0
1497	502.3	-15.9	39.5	239	5521	-74.750636	38.447396	-16.9
1498	502.0	-15.9	39.6	239	5525	-74.750247	38.447579	-16.9
1499	501.8	-15.9	39.7	239	5529	-74.749857	38.447762	-16.8
1500	501.5	-15.9	39.7	239	5533	-74.749467	38.447945	-16.7
1501	501.2	-16.0	39.8	239	5537	-74.749078	38.448128	-16.7
1502	501.0	-16.0	39.8	239	5541	-74.748688	38.448311	-16.5
1503	500.7	-16.0	39.9	239	5545	-74.748295	38.448497	-16.5
1504	500.4	-16.0	39.9	239	5549	-74.747890	38.448690	-16.4
1505	500.2	-16.0	40.1	239	5553	-74.747485	38.448883	-16.3
1506	499.9	-16.0	40.2	239	5557	-74.747079	38.449076	-16.2
1507	499.6	-16.0	40.4	239	5561	-74.746674	38.449269	-16.1
1508	499.3	-16.1	40.6	239	5565	-74.746269	38.449463	-16.1
1509	499.1	-16.1	40.8	238	5569	-74.745864	38.449656	-16.1
1510	498.8	-16.1	40.9	238	5573	-74.745458	38.449849	-16.1
1511	498.5	-16.1	41.1	238	5577	-74.745053	38.450042	-16.1
1512	498.3	-16.1	41.2	238	5582	-74.744648	38.450235	-16.2
1513	498.0	-16.2	41.3	238	5586	-74.744243	38.450429	-16.2
1514	497.8	-16.2	41.4	238	5590	-74.743837	38.450622	-16.2
1515	497.5	-16.2	41.5	238	5593	-74.743432	38.450815	-16.2
1516	497.3	-16.2	41.7	238	5597	-74.743027	38.451008	-16.2
1517	497.0	-16.3	41.8	238	5600	-74.742622	38.451201	-16.3
1518	496.8	-16.3	41.8	238	5604	-74.742216	38.451395	-16.3
1519	496.5	-16.3	41.9	238	5608	-74.741811	38.451588	-16.3
1520	496.3	-16.3	41.9	238	5611	-74.741406	38.451781	-16.3
1521	496.1	-16.3	41.9	238	5615	-74.741000	38.451974	-16.3
1522	495.8	-16.4	42.0	238	5619	-74.740595	38.452167	-16.4
1523	495.6	-16.4	42.1	238	5623	-74.740190	38.452361	-16.4
1524	495.3	-16.4	42.1	238	5627	-74.739785	38.452554	-16.4
1525	495.1	-16.4	42.0	239	5630	-74.739379	38.452747	-16.4
1526	494.8	-16.5	41.9	239	5634	-74.738974	38.452940	-16.5
